date,bookings,adr,promo_flag,event_flag,weekend_flag
2023-02-21,148,166.36,0,0,0
2023-02-22,126,165.15,0,0,0
2023-02-23,124,170.27,0,0,0
2023-02-24,98,171.9,0,0,0
2023-02-25,141,183.45,0,0,1
2023-02-26,143,176.31,0,0,1
2023-02-27,132,166.37,0,0,0
2023-02-28,144,168.86,0,0,0
2023-03-01,121,171.37,0,0,0
2023-03-02,124,165.47,0,0,0
2023-03-03,104,166.56,0,0,0
2023-03-04,126,174.79,0,0,1
2023-03-05,129,174.34,0,0,1
2023-03-06,143,170.28,0,0,0
2023-03-07,120,172.35,0,0,0
2023-03-08,117,166.53,0,0,0
2023-03-09,124,170.72,0,0,0
2023-03-10,120,168.03,0,0,0
2023-03-11,137,175.88,0,0,1
2023-03-12,139,179.78,0,0,1
2023-03-13,149,172.36,0,0,0
2023-03-14,150,165.92,0,0,0
2023-03-15,151,164.18,1,0,0
2023-03-16,170,147.3,1,0,0
2023-03-17,153,160.91,1,0,0
2023-03-18,162,169.82,1,0,1
2023-03-19,182,168.11,1,0,1
2023-03-20,187,157.51,1,0,0
2023-03-21,166,149.02,1,0,0
2023-03-22,137,163.92,0,0,0
2023-03-23,116,166.05,0,0,0
2023-03-24,107,170.35,0,0,0
2023-03-25,136,174.18,0,0,1
2023-03-26,174,172.83,0,0,1
2023-03-27,165,161.86,0,0,0
2023-03-28,149,167.33,0,0,0
2023-03-29,147,164.78,0,0,0
2023-03-30,142,161.14,0,0,0
2023-03-31,130,165.1,0,0,0
2023-04-01,141,175.22,0,0,1
2023-04-02,149,178.48,0,0,1
2023-04-03,169,159.58,0,0,0
2023-04-04,163,160.85,0,0,0
2023-04-05,154,160.36,0,0,0
2023-04-06,138,155.84,0,0,0
2023-04-07,135,162.64,0,0,0
2023-04-08,137,174.26,0,0,1
2023-04-09,173,173.0,0,0,1
2023-04-10,166,159.79,0,0,0
2023-04-11,184,154.82,0,0,0
2023-04-12,141,158.54,0,0,0
2023-04-13,150,158.6,0,0,0
2023-04-14,130,156.5,0,0,0
2023-04-15,139,170.8,0,0,1
2023-04-16,157,172.8,0,0,1
2023-04-17,159,166.46,0,0,0
2023-04-18,167,159.34,0,0,0
2023-04-19,154,159.4,0,0,0
2023-04-20,128,157.8,0,0,0
2023-04-21,132,150.14,0,0,0
2023-04-22,168,169.43,0,0,1
2023-04-23,181,169.5,0,0,1
2023-04-24,167,166.82,0,0,0
2023-04-25,166,155.92,0,0,0
2023-04-26,151,157.6,0,0,0
2023-04-27,141,155.97,0,0,0
2023-04-28,122,151.14,0,0,0
2023-04-29,144,172.09,0,0,1
2023-04-30,147,170.23,0,0,1
2023-05-01,171,158.09,0,0,0
2023-05-02,174,150.99,0,0,0
2023-05-03,144,159.94,0,0,0
2023-05-04,155,148.42,0,0,0
2023-05-05,118,156.07,0,0,0
2023-05-06,131,174.18,0,0,1
2023-05-07,171,161.16,0,0,1
2023-05-08,181,150.55,0,0,0
2023-05-09,184,152.9,0,0,0
2023-05-10,149,150.19,0,0,0
2023-05-11,151,145.69,0,0,0
2023-05-12,132,151.86,0,0,0
2023-05-13,151,159.03,0,0,1
2023-05-14,175,164.86,0,0,1
2023-05-15,178,146.98,0,0,0
2023-05-16,149,156.55,0,0,0
2023-05-17,169,146.9,0,0,0
2023-05-18,152,148.44,0,0,0
2023-05-19,125,152.67,0,0,0
2023-05-20,157,156.19,0,0,1
2023-05-21,172,161.71,0,0,1
2023-05-22,171,153.72,0,0,0
2023-05-23,165,141.75,0,0,0
2023-05-24,146,148.61,0,0,0
2023-05-25,137,148.61,0,0,0
2023-05-26,169,170.39,0,1,0
2023-05-27,184,174.01,0,1,1
2023-05-28,192,173.37,0,1,1
2023-05-29,177,148.43,0,0,0
2023-05-30,139,147.23,0,0,0
2023-05-31,164,146.74,0,0,0
2023-06-01,119,146.83,0,0,0
2023-06-02,130,142.42,0,0,0
2023-06-03,139,157.78,0,0,1
2023-06-04,153,157.72,0,0,1
2023-06-05,183,141.4,0,0,0
2023-06-06,159,151.43,0,0,0
2023-06-07,155,145.57,0,0,0
2023-06-08,138,138.62,0,0,0
2023-06-09,135,145.72,0,0,0
2023-06-10,152,150.91,0,0,1
2023-06-11,152,157.68,0,0,1
2023-06-12,177,146.88,0,0,0
2023-06-13,163,138.69,0,0,0
2023-06-14,134,145.55,0,0,0
2023-06-15,131,143.07,0,0,0
2023-06-16,144,144.44,0,0,0
2023-06-17,153,160.47,0,0,1
2023-06-18,162,151.63,0,0,1
2023-06-19,165,137.34,0,0,0
2023-06-20,163,136.54,0,0,0
2023-06-21,172,136.57,0,0,0
2023-06-22,138,139.27,0,0,0
2023-06-23,133,140.7,0,0,0
2023-06-24,157,152.19,0,0,1
2023-06-25,164,154.15,0,0,1
2023-06-26,163,138.65,0,0,0
2023-06-27,159,144.17,0,0,0
2023-06-28,148,137.07,0,0,0
2023-06-29,127,148.77,0,0,0
2023-06-30,133,140.17,0,0,0
2023-07-01,177,138.01,1,0,1
2023-07-02,200,136.94,1,0,1
2023-07-03,192,130.94,1,0,0
2023-07-04,192,127.9,1,0,0
2023-07-05,155,131.44,1,0,0
2023-07-06,168,130.27,1,0,0
2023-07-07,158,127.89,1,0,0
2023-07-08,154,144.6,0,0,1
2023-07-09,133,141.73,0,0,1
2023-07-10,183,133.82,0,0,0
2023-07-11,156,138.85,0,0,0
2023-07-12,155,136.1,0,0,0
2023-07-13,120,130.08,0,0,0
2023-07-14,129,135.59,0,0,0
2023-07-15,129,148.27,0,0,1
2023-07-16,152,143.03,0,0,1
2023-07-17,178,135.03,0,0,0
2023-07-18,155,134.49,0,0,0
2023-07-19,146,129.54,0,0,0
2023-07-20,134,135.4,0,0,0
2023-07-21,124,136.07,0,0,0
2023-07-22,137,150.03,0,0,1
2023-07-23,156,149.78,0,0,1
2023-07-24,183,127.93,0,0,0
2023-07-25,155,129.57,0,0,0
2023-07-26,140,135.27,0,0,0
2023-07-27,133,135.16,0,0,0
2023-07-28,128,135.06,0,0,0
2023-07-29,140,160.31,0,0,1
2023-07-30,157,147.09,0,0,1
2023-07-31,140,137.26,0,0,0
2023-08-01,166,136.45,0,0,0
2023-08-02,124,135.16,0,0,0
2023-08-03,124,131.22,0,0,0
2023-08-04,106,135.45,0,0,0
2023-08-05,133,141.26,0,0,1
2023-08-06,152,143.34,0,0,1
2023-08-07,155,130.29,0,0,0
2023-08-08,152,132.52,0,0,0
2023-08-09,145,141.41,0,0,0
2023-08-10,125,124.64,0,0,0
2023-08-11,108,134.82,0,0,0
2023-08-12,142,137.6,0,0,1
2023-08-13,158,142.14,0,0,1
2023-08-14,134,136.37,0,0,0
2023-08-15,151,132.26,0,0,0
2023-08-16,139,127.69,0,0,0
2023-08-17,113,129.14,0,0,0
2023-08-18,121,134.72,0,0,0
2023-08-19,126,141.1,0,0,1
2023-08-20,144,144.9,0,0,1
2023-08-21,143,132.24,0,0,0
2023-08-22,144,129.48,0,0,0
2023-08-23,112,140.69,0,0,0
2023-08-24,96,134.69,0,0,0
2023-08-25,125,124.09,0,0,0
2023-08-26,115,144.99,0,0,1
2023-08-27,131,141.65,0,0,1
2023-08-28,119,135.76,0,0,0
2023-08-29,134,129.25,0,0,0
2023-08-30,111,132.03,0,0,0
2023-08-31,124,134.58,0,0,0
2023-09-01,137,156.1,0,1,0
2023-09-02,142,159.92,0,1,1
2023-09-03,186,163.48,0,1,1
2023-09-04,150,131.01,0,0,0
2023-09-05,134,130.4,0,0,0
2023-09-06,93,140.18,0,0,0
2023-09-07,128,134.84,0,0,0
2023-09-08,88,128.3,0,0,0
2023-09-09,99,149.13,0,0,1
2023-09-10,140,154.07,0,0,1
2023-09-11,159,137.84,0,0,0
2023-09-12,150,127.77,0,0,0
2023-09-13,125,132.05,0,0,0
2023-09-14,106,139.2,0,0,0
2023-09-15,107,131.45,0,0,0
2023-09-16,122,148.21,0,0,1
2023-09-17,133,149.69,0,0,1
2023-09-18,136,131.04,0,0,0
2023-09-19,130,134.68,0,0,0
2023-09-20,114,122.12,0,0,0
2023-09-21,99,131.17,0,0,0
2023-09-22,78,134.44,0,0,0
2023-09-23,114,142.64,0,0,1
2023-09-24,116,154.35,0,0,1
2023-09-25,123,130.29,0,0,0
2023-09-26,131,134.45,0,0,0
2023-09-27,127,136.93,0,0,0
2023-09-28,104,142.38,0,0,0
2023-09-29,79,131.08,0,0,0
2023-09-30,98,153.69,0,0,1
2023-10-01,136,149.29,0,0,1
2023-10-02,121,133.55,0,0,0
2023-10-03,123,139.55,0,0,0
2023-10-04,117,138.72,0,0,0
2023-10-05,87,135.76,0,0,0
2023-10-06,91,138.67,0,0,0
2023-10-07,95,149.09,0,0,1
2023-10-08,118,151.33,0,0,1
2023-10-09,129,141.77,0,0,0
2023-10-10,106,145.71,0,0,0
2023-10-11,116,134.66,0,0,0
2023-10-12,90,148.4,0,0,0
2023-10-13,98,132.32,0,0,0
2023-10-14,109,151.78,0,0,1
2023-10-15,135,155.0,0,0,1
2023-10-16,126,142.04,0,0,0
2023-10-17,120,138.7,0,0,0
2023-10-18,110,140.63,0,0,0
2023-10-19,99,139.76,0,0,0
2023-10-20,89,139.65,0,0,0
2023-10-21,104,157.68,0,0,1
2023-10-22,114,156.0,0,0,1
2023-10-23,119,140.08,0,0,0
2023-10-24,106,146.73,0,0,0
2023-10-25,124,144.65,0,0,0
2023-10-26,77,146.96,0,0,0
2023-10-27,78,146.52,0,0,0
2023-10-28,98,152.98,0,0,1
2023-10-29,131,154.35,0,0,1
2023-10-30,119,147.88,0,0,0
2023-10-31,132,147.63,0,0,0
2023-11-01,99,145.4,0,0,0
2023-11-02,93,146.25,0,0,0
2023-11-03,75,151.2,0,0,0
2023-11-04,126,156.02,0,0,1
2023-11-05,107,160.88,0,0,1
2023-11-06,126,146.19,0,0,0
2023-11-07,127,146.43,0,0,0
2023-11-08,108,152.0,0,0,0
2023-11-09,87,151.22,0,0,0
2023-11-10,82,151.48,0,0,0
2023-11-11,101,165.75,0,0,1
2023-11-12,118,160.93,0,0,1
2023-11-13,131,151.88,0,0,0
2023-11-14,143,148.22,0,0,0
2023-11-15,100,151.07,0,0,0
2023-11-16,77,149.56,0,0,0
2023-11-17,84,150.78,0,0,0
2023-11-18,128,165.08,0,0,1
2023-11-19,113,159.73,0,0,1
2023-11-20,165,151.69,1,0,0
2023-11-21,169,139.6,1,0,0
2023-11-22,132,139.08,1,0,0
2023-11-23,124,148.87,1,0,0
2023-11-24,130,147.71,1,0,0
2023-11-25,128,159.35,1,0,1
2023-11-26,147,159.67,1,0,1
2023-11-27,118,153.41,0,0,0
2023-11-28,113,150.18,0,0,0
2023-11-29,100,154.37,0,0,0
2023-11-30,80,151.66,0,0,0
2023-12-01,85,158.57,0,0,0
2023-12-02,97,166.38,0,0,1
2023-12-03,125,163.96,0,0,1
2023-12-04,109,154.27,0,0,0
2023-12-05,125,157.51,0,0,0
2023-12-06,117,153.89,0,0,0
2023-12-07,74,153.15,0,0,0
2023-12-08,91,157.7,0,0,0
2023-12-09,118,169.99,0,0,1
2023-12-10,112,167.27,0,0,1
2023-12-11,143,155.69,0,0,0
2023-12-12,127,158.78,0,0,0
2023-12-13,105,152.34,0,0,0
2023-12-14,96,152.78,0,0,0
2023-12-15,96,155.81,0,0,0
2023-12-16,109,170.1,0,0,1
2023-12-17,129,172.46,0,0,1
2023-12-18,116,165.38,0,0,0
2023-12-19,125,163.18,0,0,0
2023-12-20,97,159.36,0,0,0
2023-12-21,95,160.18,0,0,0
2023-12-22,84,156.5,0,0,0
2023-12-23,102,172.69,0,0,1
2023-12-24,139,171.85,0,0,1
2023-12-25,140,162.54,0,0,0
2023-12-26,135,158.18,0,0,0
2023-12-27,101,163.81,0,0,0
2023-12-28,92,168.09,0,0,0
2023-12-29,106,161.76,0,0,0
2023-12-30,112,176.02,0,0,1
2023-12-31,151,177.4,0,0,1
2024-01-01,137,161.25,0,0,0
2024-01-02,131,163.97,0,0,0
2024-01-03,113,163.33,0,0,0
2024-01-04,102,163.88,0,0,0
2024-01-05,96,160.6,0,0,0
2024-01-06,121,175.99,0,0,1
2024-01-07,140,178.08,0,0,1
2024-01-08,124,170.08,0,0,0
2024-01-09,117,168.3,0,0,0
2024-01-10,96,173.26,0,0,0
2024-01-11,110,161.76,0,0,0
2024-01-12,86,168.49,0,0,0
2024-01-13,95,177.9,0,0,1
2024-01-14,134,186.09,0,0,1
2024-01-15,164,162.26,0,0,0
2024-01-16,137,162.29,0,0,0
2024-01-17,131,163.4,0,0,0
2024-01-18,111,157.45,0,0,0
2024-01-19,102,163.98,0,0,0
2024-01-20,131,175.19,0,0,1
2024-01-21,134,178.96,0,0,1
2024-01-22,143,167.85,0,0,0
2024-01-23,138,174.11,0,0,0
2024-01-24,116,170.52,0,0,0
2024-01-25,120,164.52,0,0,0
2024-01-26,105,163.35,0,0,0
2024-01-27,115,181.01,0,0,1
2024-01-28,148,173.86,0,0,1
2024-01-29,132,174.56,0,0,0
2024-01-30,140,172.04,0,0,0
2024-01-31,129,165.52,0,0,0
2024-02-01,127,160.62,0,0,0
2024-02-02,110,172.96,0,0,0
2024-02-03,127,179.16,0,0,1
2024-02-04,150,184.63,0,0,1
2024-02-05,164,161.35,0,0,0
2024-02-06,152,165.38,0,0,0
2024-02-07,131,167.85,0,0,0
2024-02-08,103,168.06,0,0,0
2024-02-09,102,166.1,0,0,0
2024-02-10,126,182.42,0,0,1
2024-02-11,143,175.69,0,0,1
2024-02-12,149,167.41,0,0,0
2024-02-13,149,168.47,0,0,0
2024-02-14,139,170.05,0,0,0
2024-02-15,118,170.85,0,0,0
2024-02-16,122,163.5,0,0,0
2024-02-17,137,173.85,0,0,1
2024-02-18,129,185.09,0,0,1
2024-02-19,144,169.29,0,0,0
2024-02-20,152,164.94,0,0,0
2024-02-21,123,174.11,0,0,0
2024-02-22,129,168.33,0,0,0
2024-02-23,132,172.55,0,0,0
2024-02-24,149,180.06,0,0,1
2024-02-25,148,187.98,0,0,1
2024-02-26,169,174.7,0,0,0
2024-02-27,158,166.63,0,0,0
2024-02-28,137,171.44,0,0,0
2024-02-29,119,170.07,0,0,0
2024-03-01,117,172.88,0,0,0
2024-03-02,138,175.47,0,0,1
2024-03-03,158,181.99,0,0,1
2024-03-04,161,171.38,0,0,0
2024-03-05,162,160.02,0,0,0
2024-03-06,152,162.22,0,0,0
2024-03-07,145,158.69,0,0,0
2024-03-08,135,165.66,0,0,0
2024-03-09,128,181.49,0,0,1
2024-03-10,162,176.5,1,0,1
2024-03-11,203,158.66,1,0,0
2024-03-12,175,164.75,1,0,0
2024-03-13,178,152.58,1,0,0
2024-03-14,154,151.15,1,0,0
2024-03-15,140,157.59,1,0,0
2024-03-16,181,171.2,1,0,1
2024-03-17,172,177.38,0,0,1
2024-03-18,165,157.08,0,0,0
2024-03-19,140,164.83,0,0,0
2024-03-20,148,159.8,0,0,0
2024-03-21,139,167.52,0,0,0
2024-03-22,116,166.13,0,0,0
2024-03-23,154,172.73,0,0,1
2024-03-24,168,174.24,0,0,1
2024-03-25,178,159.87,0,0,0
2024-03-26,170,163.66,0,0,0
2024-03-27,143,167.54,0,0,0
2024-03-28,153,159.57,0,0,0
2024-03-29,132,165.32,0,0,0
2024-03-30,154,172.98,0,0,1
2024-03-31,162,171.71,0,0,1
2024-04-01,169,162.24,0,0,0
2024-04-02,164,158.3,0,0,0
2024-04-03,156,160.0,0,0,0
2024-04-04,161,157.2,0,0,0
2024-04-05,120,169.61,0,0,0
2024-04-06,139,173.66,0,0,1
2024-04-07,188,170.48,0,0,1
2024-04-08,173,161.89,0,0,0
2024-04-09,167,160.34,0,0,0
2024-04-10,170,159.66,0,0,0
2024-04-11,137,162.75,0,0,0
2024-04-12,156,163.06,0,0,0
2024-04-13,165,169.65,0,0,1
2024-04-14,171,169.21,0,0,1
2024-04-15,200,158.15,0,0,0
2024-04-16,174,149.77,0,0,0
2024-04-17,171,152.65,0,0,0
2024-04-18,147,163.91,0,0,0
2024-04-19,151,164.75,0,0,0
2024-04-20,176,168.89,0,0,1
2024-04-21,176,171.91,0,0,1
2024-04-22,171,158.57,0,0,0
2024-04-23,176,169.36,0,0,0
2024-04-24,154,161.24,0,0,0
2024-04-25,168,155.96,0,0,0
2024-04-26,146,152.36,0,0,0
2024-04-27,160,161.46,0,0,1
2024-04-28,179,168.41,0,0,1
2024-04-29,169,152.27,0,0,0
2024-04-30,172,149.31,0,0,0
2024-05-01,178,152.12,0,0,0
2024-05-02,144,150.08,0,0,0
2024-05-03,131,160.85,0,0,0
2024-05-04,166,169.33,0,0,1
2024-05-05,191,165.47,0,0,1
2024-05-06,187,159.11,0,0,0
2024-05-07,190,153.2,0,0,0
2024-05-08,159,149.14,0,0,0
2024-05-09,133,158.37,0,0,0
2024-05-10,159,154.12,0,0,0
2024-05-11,162,159.51,0,0,1
2024-05-12,178,162.59,0,0,1
2024-05-13,198,147.54,0,0,0
2024-05-14,188,145.2,0,0,0
2024-05-15,169,154.13,0,0,0
2024-05-16,169,157.75,0,0,0
2024-05-17,142,144.21,0,0,0
2024-05-18,172,163.75,0,0,1
2024-05-19,182,158.58,0,0,1
2024-05-20,187,146.93,0,0,0
2024-05-21,197,146.2,0,0,0
2024-05-22,173,144.8,0,0,0
2024-05-23,156,148.15,0,0,0
2024-05-24,184,164.32,0,1,0
2024-05-25,185,180.42,0,1,1
2024-05-26,198,178.83,0,1,1
2024-05-27,173,145.77,0,0,0
2024-05-28,162,142.79,0,0,0
2024-05-29,188,143.81,0,0,0
2024-05-30,138,148.84,0,0,0
2024-05-31,142,147.52,0,0,0
2024-06-01,162,153.31,0,0,1
2024-06-02,183,157.32,0,0,1
2024-06-03,189,147.63,0,0,0
2024-06-04,192,137.65,0,0,0
2024-06-05,159,146.21,0,0,0
2024-06-06,149,141.09,0,0,0
2024-06-07,146,145.74,0,0,0
2024-06-08,161,152.12,0,0,1
2024-06-09,198,147.66,0,0,1
2024-06-10,190,136.09,0,0,0
2024-06-11,186,142.51,0,0,0
2024-06-12,171,143.08,0,0,0
2024-06-13,162,138.15,0,0,0
2024-06-14,144,144.04,0,0,0
2024-06-15,151,146.57,0,0,1
2024-06-16,182,152.68,0,0,1
2024-06-17,176,135.84,0,0,0
2024-06-18,174,137.81,0,0,0
2024-06-19,169,140.35,0,0,0
2024-06-20,161,136.46,0,0,0
2024-06-21,143,138.11,0,0,0
2024-06-22,161,155.42,0,0,1
2024-06-23,194,148.84,0,0,1
2024-06-24,180,142.24,0,0,0
2024-06-25,204,134.14,0,0,0
2024-06-26,166,140.54,0,0,0
2024-06-27,125,143.95,0,0,0
2024-06-28,152,128.07,0,0,0
2024-06-29,163,146.54,0,0,1
2024-06-30,186,151.81,0,0,1
2024-07-01,184,136.47,0,0,0
2024-07-02,172,138.55,0,0,0
2024-07-03,148,134.43,0,0,0
2024-07-04,171,128.98,1,0,0
2024-07-05,160,127.81,1,0,0
2024-07-06,178,144.9,1,0,1
2024-07-07,207,141.05,1,0,1
2024-07-08,221,129.19,1,0,0
2024-07-09,206,126.0,1,0,0
2024-07-10,176,125.52,1,0,0
2024-07-11,147,133.56,0,0,0
2024-07-12,147,136.69,0,0,0
2024-07-13,148,145.25,0,0,1
2024-07-14,168,147.93,0,0,1
2024-07-15,169,142.91,0,0,0
2024-07-16,160,137.93,0,0,0
2024-07-17,162,132.99,0,0,0
2024-07-18,136,138.95,0,0,0
2024-07-19,139,132.37,0,0,0
2024-07-20,146,137.71,0,0,1
2024-07-21,165,141.7,0,0,1
2024-07-22,181,126.12,0,0,0
2024-07-23,164,132.07,0,0,0
2024-07-24,170,133.43,0,0,0
2024-07-25,129,139.94,0,0,0
2024-07-26,133,134.44,0,0,0
2024-07-27,158,144.15,0,0,1
2024-07-28,149,148.24,0,0,1
2024-07-29,154,123.98,0,0,0
2024-07-30,149,133.68,0,0,0
2024-07-31,161,135.73,0,0,0
2024-08-01,131,126.66,0,0,0
2024-08-02,152,137.07,0,0,0
2024-08-03,139,145.78,0,0,1
2024-08-04,165,142.7,0,0,1
2024-08-05,179,134.83,0,0,0
2024-08-06,177,141.33,0,0,0
2024-08-07,167,132.93,0,0,0
2024-08-08,142,133.15,0,0,0
2024-08-09,136,130.28,0,0,0
2024-08-10,150,140.69,0,0,1
2024-08-11,165,147.38,0,0,1
2024-08-12,157,128.61,0,0,0
2024-08-13,150,132.31,0,0,0
2024-08-14,144,130.1,0,0,0
2024-08-15,125,133.92,0,0,0
2024-08-16,117,133.33,0,0,0
2024-08-17,145,148.15,0,0,1
2024-08-18,166,141.97,0,0,1
2024-08-19,160,130.95,0,0,0
2024-08-20,172,128.13,0,0,0
2024-08-21,130,130.3,0,0,0
2024-08-22,122,133.62,0,0,0
2024-08-23,111,135.17,0,0,0
2024-08-24,120,140.5,0,0,1
2024-08-25,151,147.71,0,0,1
2024-08-26,152,137.71,0,0,0
2024-08-27,167,133.99,0,0,0
2024-08-28,141,139.91,0,0,0
2024-08-29,113,129.38,0,0,0
2024-08-30,137,127.56,0,0,0
2024-08-31,149,137.51,0,0,1
2024-09-01,179,170.69,0,1,1
2024-09-02,175,155.41,0,1,0
2024-09-03,166,152.66,0,1,0
2024-09-04,130,134.1,0,0,0
2024-09-05,132,128.59,0,0,0
2024-09-06,128,142.98,0,0,0
2024-09-07,146,145.83,0,0,1
2024-09-08,142,145.87,0,0,1
2024-09-09,137,136.46,0,0,0
2024-09-10,147,135.6,0,0,0
2024-09-11,114,134.71,0,0,0
2024-09-12,121,130.79,0,0,0
2024-09-13,108,135.98,0,0,0
2024-09-14,120,153.77,0,0,1
2024-09-15,126,151.77,0,0,1
2024-09-16,149,140.92,0,0,0
2024-09-17,140,132.67,0,0,0
2024-09-18,119,130.92,0,0,0
2024-09-19,85,134.54,0,0,0
2024-09-20,108,135.44,0,0,0
2024-09-21,141,151.78,0,0,1
2024-09-22,162,140.81,0,0,1
2024-09-23,137,141.89,0,0,0
2024-09-24,136,135.33,0,0,0
2024-09-25,132,134.45,0,0,0
2024-09-26,103,132.31,0,0,0
2024-09-27,112,129.94,0,0,0
2024-09-28,129,152.06,0,0,1
2024-09-29,152,149.28,0,0,1
2024-09-30,144,132.04,0,0,0
2024-10-01,140,132.24,0,0,0
2024-10-02,117,136.3,0,0,0
2024-10-03,98,144.54,0,0,0
2024-10-04,102,137.06,0,0,0
2024-10-05,128,144.32,0,0,1
2024-10-06,147,149.59,0,0,1
2024-10-07,133,137.72,0,0,0
2024-10-08,157,128.27,0,0,0
2024-10-09,120,139.09,0,0,0
2024-10-10,107,138.63,0,0,0
2024-10-11,93,142.59,0,0,0
2024-10-12,92,159.46,0,0,1
2024-10-13,143,156.83,0,0,1
2024-10-14,146,139.51,0,0,0
2024-10-15,135,136.42,0,0,0
2024-10-16,117,151.41,0,0,0
2024-10-17,110,141.63,0,0,0
2024-10-18,85,141.72,0,0,0
2024-10-19,113,153.84,0,0,1
2024-10-20,142,155.01,0,0,1
2024-10-21,125,141.92,0,0,0
2024-10-22,139,140.48,0,0,0
2024-10-23,107,140.88,0,0,0
2024-10-24,109,143.22,0,0,0
2024-10-25,100,141.47,0,0,0
2024-10-26,102,153.08,0,0,1
2024-10-27,145,156.65,0,0,1
2024-10-28,129,143.5,0,0,0
2024-10-29,123,150.83,0,0,0
2024-10-30,126,134.51,0,0,0
2024-10-31,113,149.77,0,0,0
2024-11-01,86,150.69,0,0,0
2024-11-02,121,149.72,0,0,1
2024-11-03,138,156.94,0,0,1
2024-11-04,143,145.13,0,0,0
2024-11-05,137,141.29,0,0,0
2024-11-06,116,144.11,0,0,0
2024-11-07,97,143.09,0,0,0
2024-11-08,96,154.85,0,0,0
2024-11-09,103,163.89,0,0,1
2024-11-10,101,165.54,0,0,1
2024-11-11,138,151.65,0,0,0
2024-11-12,144,144.56,0,0,0
2024-11-13,96,147.28,0,0,0
2024-11-14,92,151.65,0,0,0
2024-11-15,106,145.11,0,0,0
2024-11-16,135,165.16,0,0,1
2024-11-17,133,161.66,0,0,1
2024-11-18,129,149.43,0,0,0
2024-11-19,130,154.08,0,0,0
2024-11-20,132,153.32,0,0,0
2024-11-21,97,150.41,0,0,0
2024-11-22,88,156.8,0,0,0
2024-11-23,113,160.15,0,0,1
2024-11-24,122,167.24,0,0,1
2024-11-25,166,147.46,1,0,0
2024-11-26,180,144.15,1,0,0
2024-11-27,152,147.0,1,0,0
2024-11-28,133,140.99,1,0,0
2024-11-29,124,149.99,1,0,0
2024-11-30,131,157.86,1,0,1
2024-12-01,173,156.8,1,0,1
2024-12-02,134,159.39,0,0,0
2024-12-03,134,152.67,0,0,0
2024-12-04,155,150.15,0,0,0
2024-12-05,111,149.85,0,0,0
2024-12-06,92,158.79,0,0,0
2024-12-07,116,163.53,0,0,1
2024-12-08,144,175.96,0,0,1
2024-12-09,143,148.9,0,0,0
2024-12-10,119,164.29,0,0,0
2024-12-11,131,158.63,0,0,0
2024-12-12,100,157.68,0,0,0
2024-12-13,121,156.16,0,0,0
2024-12-14,130,172.21,0,0,1
2024-12-15,132,170.73,0,0,1
2024-12-16,151,163.56,0,0,0
2024-12-17,138,159.87,0,0,0
2024-12-18,132,160.28,0,0,0
2024-12-19,114,158.48,0,0,0
2024-12-20,95,159.97,0,0,0
2024-12-21,115,173.68,0,0,1
2024-12-22,152,165.86,0,0,1
2024-12-23,141,155.55,0,0,0
2024-12-24,134,164.16,0,0,0
2024-12-25,116,162.12,0,0,0
2024-12-26,115,160.93,0,0,0
2024-12-27,126,161.98,0,0,0
2024-12-28,113,175.52,0,0,1
2024-12-29,142,172.2,0,0,1
2024-12-30,160,159.47,0,0,0
2024-12-31,141,163.59,0,0,0
2025-01-01,134,159.11,0,0,0
2025-01-02,101,164.86,0,0,0
2025-01-03,115,156.63,0,0,0
